5.9375,6.25,6.5,7,7.4375,7.8125,8.165,8.235,8.245,8.23,8.245,8.255,8.34,8.38,8.42
5.9375,6.25,6.5,7,7.4375,7.8125,7.995,8.105,8.145,8.16,8.175,8.205,8.27,8.32,8.35
5.89844,6.1875,6.4375,6.9375,7.32813,7.6875,8.085,8.175,8.225,8.22,8.255,8.255,8.32,8.37,8.4
5.875,6.1875,6.4375,6.9375,7.3125,7.6875,8.035,8.155,8.205,8.21,8.235,8.245,8.31,8.36,8.37
5.875,6.1875,6.375,6.875,7.3125,7.6875,8.085,8.185,8.225,8.24,8.255,8.275,8.33,8.38,8.38
5.875,6.1875,6.375,6.875,7.3125,7.6875,8.045,8.145,8.195,8.2,8.215,8.235,8.27,8.33,8.38
5.875,6.125,6.33594,6.875,7.25,7.625,7.975,8.095,8.135,8.15,8.155,8.175,8.23,8.27,8.34
5.8125,6.0625,6.25,6.75781,7.1875,7.5625,7.965,8.085,8.145,8.15,8.185,8.215,8.27,8.31,8.39
5.8125,6.0625,6.25,6.75,7.17969,7.52344,7.755,7.885,7.965,7.99,8.025,8.085,8.25,8.2,8.29
5.75,6,6.1875,6.625,7,7.3125,7.735,7.885,7.965,8.01,8.025,8.085,8.25,8.19,8.29
5.75,6,6.1875,6.625,7,7.3125,7.815,7.955,8.035,8.03,8.065,8.095,8.16,8.2,8.28
5.875,6.125,6.3125,6.75,7.125,7.4375,7.855,7.975,8.045,8.055,8.085,8.105,8.19,8.23,8.28
6,6.1875,6.375,6.8125,7.1875,7.5,7.875,8.025,8.095,8.095,8.115,8.155,8.22,8.27,8.33
6,6.1875,6.3125,6.75,7.125,7.45313,7.905,8.055,8.135,8.155,8.195,8.235,8.29,8.34,8.4
6,6.1875,6.3125,6.75,7.125,7.4375,7.895,8.035,8.125,8.155,8.185,8.245,8.31,8.36,8.41
6,6.1875,6.3125,6.75,7.125,7.4375,7.925,8.075,8.155,8.185,8.215,8.265,8.33,8.37,8.43
6.0625,6.1875,6.375,6.8125,7.1875,7.5,7.825,7.985,8.075,8.095,8.135,8.195,8.25,8.29,8.36
6,6.1875,6.3125,6.75,7.0625,7.41406,7.735,7.915,8.025,8.055,8.095,8.165,8.22,8.26,8.34
6,6.1875,6.3125,6.6875,7,7.3125,7.575,7.735,7.845,7.895,7.955,8.025,8.09,8.13,8.23
6.0625,6.1875,6.3125,6.6875,6.99219,7.25,7.565,7.715,7.835,7.885,7.955,8.035,8.1,8.14,8.24
6.09375,6.1875,6.3125,6.6875,6.9375,7.25,7.555,7.695,7.805,7.855,7.905,7.985,8.05,8.09,8.19
6.125,6.1875,6.3125,6.65625,6.9375,7.25,7.685,7.845,7.925,7.945,8.005,8.045,8.12,8.16,8.24
6.125,6.1875,6.3125,6.6875,7.00781,7.32031,7.725,7.865,7.935,7.945,8,8.055,8.12,8.16,8.22
6.125,6.1875,6.3125,6.6875,7,7.3125,7.48,7.635,7.715,7.765,7.815,7.895,7.96,8,8.1
6.10938,6.1875,6.25,6.5625,6.875,7.125,7.505,7.655,7.745,7.785,7.855,7.915,7.99,8.03,8.11
6.125,6.1875,6.25,6.5625,6.875,7.125,7.495,7.635,7.715,7.775,7.835,7.905,7.98,8.02,8.12
